,X,Y,objectid,Designação,nome_escola,endereco,bairro,cre,cod_atividade,globalid,cod_microarea,Código da Escola_x,Nome da Escola_x,Média - 6º a 9º ano,Taxa de Aprovação - 2021 - 6º,Taxa de Aprovação - 2021 - 7º,Taxa de Aprovação - 2021 - 8º,Taxa de Aprovação - 2021 - 9º,Indicador de Rendimento (P)_x,Nota SAEB - 2021 - Matemática_x,Nota SAEB - 2021 - Língua Portuguesa_x,Nota SAEB - 2021 - Nota Média Padronizada (N),IDEB 2021 (N x P)_x,Código da Escola_y,Nome da Escola_y,Taxa de Aprovação - 2021 - 1º ao 5º ano,Taxa de Aprovação - 2021 - 1º,Taxa de Aprovação - 2021 - 2º,Taxa de Aprovação - 2021 - 3º,Taxa de Aprovação - 2021 - 4º,Taxa de Aprovação - 2021 - 5º,Indicador de Rendimento (P)_y,Nota SAEB - 2021 - Matemática_y,Nota SAEB - 2021 - Língua Portuguesa_y,Nota Média Padronizada (N),IDEB 2021 (N x P)_y
938,-43.2280355677239,-22.9295781236701,17284.0,208005,Escola Municipal Bombeiro Geraldo Dias,"Rua Francisco Graça, 81  ",Tijuca,2.0,1.0,{154FD7A1-CB62-4219-8F25-AD05330CD83D},2.12,,,,,,,,,,,,,,,,,,,,,,,,,
939,-43.3309703643742,-22.8349240861766,17285.0,514501,CIEP Dom Oscar Romero,"Estr. do Colégio, S/Nº  ",Colégio,5.0,3.0,{2BFD67AE-3563-4400-9C91-96B07E3E141C},5.4,,,,,,,,,,,,,33073970.0,CIEP DOM OSCAR ROMERO,98.9,98.6,100,100,100,96.4,0.989797,185.77,176.58,4.719827,4.7
940,-43.3261729869296,-22.8360082629551,17286.0,514024,Escola Municipal Almirante Newton Braga de Faria,"Av. Monsenhor Félix, 1.059  ",Colégio,5.0,1.0,{ECC15436-AD37-45A9-991A-2EA4E2A9B9E0},5.2,,,,,,,,,,,,,33074321.0,ESCOLA MUNICIPAL ALMIRANTE NEWTON BRAGA DE FARIA,98.1,100,97.6,100,94.6,97.1,0.978179,230.54,224.31,6.442035,6.3
941,-43.2525341897355,-22.9888475908616,17287.0,227501,CIEP Doutor Bento Rubião,"Estr. da Gávea, s/n  ",Rocinha,2.0,3.0,{78CFB0B6-F4A7-464E-A603-E56DDD84A0D0},2.7,,,,,,,,,,,,,,,,,,,,,,,,,
942,-43.1916295128952,-22.915547740189,17288.0,123002,Escola Municipal Santa Catarina,"Rua Eduardo Santos, 38  ",Santa Teresa,1.0,1.0,{7B8406FE-40EA-4E93-A29B-27C19FA3E4B9},1.7,33087504.0,ESCOLA MUNICIPAL SANTA CATARINA,100.0,100,100.0,100.0,100.0,1.0,251.67,254.23,5.098333,5.1,,,,,,,,,,,,,
943,-43.2785102880109,-22.9655587744582,17289.0,208023,Escola Municipal Marc Ferrez,"Rua Jornalista Guima, S/Nº  ",Alto da Boa Vista,2.0,1.0,{7F612AD8-64D9-4D7D-A025-60D0BE65C5F4},2.11,,,,,,,,,,,,,,,,,,,,,,,,,
944,-43.2628406977361,-22.8728802711575,17290.0,312006,Escola Municipal Ministro Orosimbo Nonato,"Rua Darke de Matos, 152  ",Higienópolis,3.0,1.0,{470B4032-0BC8-46F5-A2B8-A748931D1BF0},3.14,33069310.0,ESCOLA MUNICIPAL MINISTRO OROSIMBO NONATO,99.7,100,99.1,100.0,100.0,0.997735,255.25,262.61,5.297667,5.3,,,,,,,,,,,,,
945,-43.2967350389304,-22.8687293172316,17291.0,312030,Escola Municipal Marechal Estevão Leitão de Carvalho,"Av. Pastor Martin Luther King, 3.217  ",Engenho da Rainha,3.0,1.0,{D181DCDC-9464-47CC-BAE3-A1E6BB41CCF8},3.16,,,,,,,,,,,,,,,,,,,,,,,,,
946,-43.3682891824232,-22.8820129206991,17292.0,716067,Escola Municipal Cândido Campos,"Rua Aricanga, 310  ",Vila Valqueire,7.0,1.0,{5A3B2F0C-2188-4338-95CA-6F8DCD77C594},7.1,33077754.0,ESCOLA MUNICIPAL CANDIDO CAMPOS,97.9,99.2,97.8,97.1,98.0,0.980192,268.53,271.66,5.669833,5.6,,,,,,,,,,,,,
947,-43.5463365921455,-22.9739358848745,17294.0,1026004,Escola Municipal Leôncio Correia,"Av. Gaspar Lemos, 342  ",Guaratiba,10.0,1.0,{23B4F62D-D0DE-4370-88AF-7D0D20C869F8},10.29,,,,,,,,,,,,,33083045.0,ESCOLA MUNICIPAL LEONCIO CORREIA,100.0,100,100,100,100,100.0,1.0,219.98,194.63,5.700872,5.7
948,-43.6435881434142,-22.9804723461871,17295.0,1026008,Escola Municipal Engenheiro Gastão Rangel,"Estr. do Magarça, 9.183  ",Guaratiba,10.0,1.0,{7A3924E8-956A-4F87-9190-79DD52B9DD69},10.24,33082847.0,ESCOLA MUNICIPAL ENGENHEIRO GASTAO RANGEL,100.0,100,100.0,100.0,100.0,1.0,248.07,255.02,5.0515,5.1,,,,,,,,,,,,,
949,-43.5682111667506,-23.0610575067386,17296.0,1026012,Escola Municipal Professor Vieira Fazenda,"Estr. da Barra de Guaratiba, 9.140  ",Guaratiba,10.0,1.0,{F114E7BB-B263-4D1A-9434-E67DBA04067B},10.29,33083304.0,ESCOLA MUNICIPAL PROFESSOR VIEIRA FAZENDA,100.0,100,100.0,100.0,100.0,1.0,256.07,246.74,5.046833,5.0,33083304.0,ESCOLA MUNICIPAL PROFESSOR VIEIRA FAZENDA,100.0,-,-,-,-,100.0,1.0,223.83,210.52,6.063254,6.1
